# KR dynamic universe — built 2026-07-22
# Filters: mcap ≥ ₩500억, daily vol ≥ ₩5억
# Count: 1830 종목
ticker,name_ko,market,market_cap_krw,avg_dollar_vol_60d,market_cap_tier
454910,두산로보틱스,KOSPI,4381830648000,0,mid
011790,SKC,KOSPI,3952984350600,0,mid
082740,한화엔진,KOSPI,3926188031100,0,mid
001040,CJ,KOSPI,3848446036200,0,mid
088350,한화생명,KOSPI,3847587900000,0,mid
023530,롯데쇼핑,KOSPI,3802008672000,0,mid
111770,영원무역,KOSPI,3779768220400,0,mid
051900,LG생활건강,KOSPI,3654027612000,0,mid
018880,한온시스템,KOSPI,3627838121320,0,mid
002380,KCC,KOSPI,3604719872000,0,mid
010060,OCI홀딩스,KOSPI,3547344080000,0,mid
000500,가온전선,KOSPI,3465782592500,0,mid
052690,한전기술,KOSPI,3455088000000,0,mid
004020,현대제철,KOSPI,3442901253000,0,mid
066970,엘앤에프,KOSPI,3352300624000,0,mid
001450,현대해상,KOSPI,3162710075000,0,mid
035250,강원랜드,KOSPI,3033676290000,0,mid
069960,현대백화점,KOSPI,2999679259200,0,mid
036460,한국가스공사,KOSPI,2990941200000,0,mid
011780,금호석유화학,KOSPI,2961017152500,0,mid
031210,서울보증보험,KOSPI,2932507116000,0,mid
251270,넷마블,KOSPI,2912773999050,0,mid
103590,일진전기,KOSPI,2904040251000,0,mid
022100,포스코DX,KOSPI,2879537767260,0,mid
383220,F&F,KOSPI,2834723550000,0,mid
097950,CJ제일제당,KOSPI,2792551503000,0,mid
139130,iM금융지주,KOSPI,2772943274080,0,mid
483650,달바글로벌,KOSPI,2771595630000,0,mid
028670,팬오션,KOSPI,2715613120960,0,mid
012750,에스원,KOSPI,2694141720200,0,mid
017800,현대엘리베이터,KOSPI,2646554464500,0,mid
336260,두산퓨얼셀,KOSPI,2623023726300,0,mid
302440,SK바이오사이언스,KOSPI,2569452110750,0,mid
026960,동서,KOSPI,2552320000000,0,mid
011170,롯데케미칼,KOSPI,2532304804800,0,mid
004800,효성,KOSPI,2524453375600,0,mid
005850,에스엘,KOSPI,2517509784000,0,mid
009420,한올바이오파마,KOSPI,2507550624000,0,mid
006360,GS건설,KOSPI,2490421359000,0,mid
279570,케이뱅크,KOSPI,2478797372610,0,mid
014680,한솔케미칼,KOSPI,2477902275000,0,mid
009970,영원무역홀딩스,KOSPI,2474179047000,0,mid
450080,에코프로머티,KOSPI,2432456434500,0,mid
081660,미스토홀딩스,KOSPI,2389132800000,0,mid
375500,DL이앤씨,KOSPI,2375788452200,0,mid
003690,코리안리,KOSPI,2366294605090,0,mid
001720,신영증권,KOSPI,2349276000000,0,mid
000240,한국앤컴퍼니,KOSPI,2344900428000,0,mid
161890,한국콜마,KOSPI,2320379069100,0,mid
008930,한미사이언스,KOSPI,2274019037500,0,mid
139480,이마트,KOSPI,2254578412300,0,mid
005440,현대지에프홀딩스,KOSPI,2252117603720,0,mid
007340,DN오토모티브,KOSPI,2238040586250,0,mid
004990,롯데지주,KOSPI,2222502204800,0,mid
489790,한화비전,KOSPI,2203818223500,0,mid
071970,HD현대마린엔진,KOSPI,2191328577000,0,mid
204320,HL만도,KOSPI,2160027520000,0,mid
004370,농심,KOSPI,2135007342000,0,mid
030000,제일기획,KOSPI,2132864311500,0,mid
085620,미래에셋생명,KOSPI,2114215200000,0,mid
475150,SK이터닉스,KOSPI,2112154248000,0,mid
018670,SK가스,KOSPI,2110651632000,0,mid
007070,GS리테일,KOSPI,2044201296750,0,mid
282330,BGF리테일,KOSPI,2013575049000,0,mid
051600,한전KPS,KOSPI,1964250000000,0,mid
192820,코스맥스,KOSPI,1920336922800,0,mid
008770,호텔신라,KOSPI,1856436123300,0,mid
002790,아모레퍼시픽홀딩스,KOSPI,1796767230000,0,mid
462870,시프트업,KOSPI,1762256700000,0,mid
073240,금호타이어,KOSPI,1755160353570,0,mid
439260,대한조선,KOSPI,1736846088000,0,mid
103140,풍산,KOSPI,1720690669200,0,mid
281820,케이씨텍,KOSPI,1720503640900,0,mid
395400,SK리츠,KOSPI,1685698672000,0,mid
457190,이수스페셜티케미컬,KOSPI,1677147396000,0,mid
112610,씨에스윈드,KOSPI,1667878988650,0,mid
000120,CJ대한통운,KOSPI,1644770002400,0,mid
023590,다우기술,KOSPI,1605959275200,0,mid
011210,현대위아,KOSPI,1577314814000,0,mid
020150,롯데에너지머티리얼즈,KOSPI,1563109070550,0,mid
001740,SK네트웍스,KOSPI,1542567006410,0,mid
120110,코오롱인더,KOSPI,1542220648000,0,mid
007810,코리아써키트,KOSPI,1532489418000,0,mid
001800,오리온홀딩스,KOSPI,1509931965200,0,mid
322000,HD현대에너지솔루션,KOSPI,1480640000000,0,mid
006040,동원산업,KOSPI,1476510395550,0,mid
001120,LX인터내셔널,KOSPI,1436058000000,0,mid
089860,롯데렌탈,KOSPI,1403357846200,0,mid
020560,아시아나항공,KOSPI,1400736834800,0,mid
006280,녹십자,KOSPI,1387192060600,0,mid
069620,대웅제약,KOSPI,1386913027500,0,mid
415640,KB발해인프라,KOSPI,1340648295120,0,mid
097230,HJ중공업,KOSPI,1339079951520,0,mid
229640,LS에코에너지,KOSPI,1324526016750,0,mid
298020,효성티앤씨,KOSPI,1315615328000,0,mid
294870,IPARK현대산업개발,KOSPI,1279261275300,0,mid
192080,더블유게임즈,KOSPI,1268290733200,0,mid
007310,오뚜기,KOSPI,1240423385000,0,mid
003540,대신증권,KOSPI,1213102906700,0,mid
012630,HDC,KOSPI,1190652499530,0,mid
082640,동양생명,KOSPI,1186075615600,0,mid
005070,코스모신소재,KOSPI,1185760184700,0,mid
093370,후성,KOSPI,1185171396500,0,mid
181710,NHN,KOSPI,1182388317900,0,mid
001430,세아베스틸지주,KOSPI,1163725761550,0,mid
017960,한국카본,KOSPI,1162720935000,0,mid
004000,롯데정밀화학,KOSPI,1162290000000,0,mid
361610,SK아이이테크놀로지,KOSPI,1104125850000,0,mid
003570,SNT다이내믹스,KOSPI,1079050017650,0,mid
030610,교보증권,KOSPI,1074670722230,0,mid
000080,하이트진로,KOSPI,1031665417810,0,mid
330590,롯데리츠,KOSPI,1008501405160,0,mid
300720,한일시멘트,KOSPI,998743938220,0,small
000210,DL,KOSPI,963970664000,0,small
077970,STX엔진,KOSPI,959538705700,0,small
006340,대원전선,KOSPI,953519298560,0,small
003240,태광산업,KOSPI,939709600000,0,small
003090,대웅,KOSPI,923294642400,0,small
195870,해성디에스,KOSPI,919700000000,0,small
280360,롯데웰푸드,KOSPI,915855113000,0,small
185750,종근당,KOSPI,912363758000,0,small
009450,경동나비엔,KOSPI,909080140800,0,small
192400,쿠쿠홀딩스,KOSPI,908613826750,0,small
003530,한화투자증권,KOSPI,908609827125,0,small
100090,SK오션플랜트,KOSPI,901559401470,0,small
034230,파라다이스,KOSPI,901283886860,0,small
001820,삼화콘덴서,KOSPI,898128000000,0,small
005300,롯데칠성,KOSPI,889844975600,0,small
032350,롯데관광개발,KOSPI,888938856700,0,small
006120,SK디스커버리,KOSPI,888101301000,0,small
009240,한샘,KOSPI,857811675600,0,small
003470,유안타증권,KOSPI,841048645230,0,small
030190,NICE평가정보,KOSPI,840078375020,0,small
451800,한화리츠,KOSPI,836936000000,0,small
036530,SNT홀딩스,KOSPI,806227162700,0,small
365550,ESR켄달스퀘어리츠,KOSPI,789945690000,0,small
499790,GS피앤엘,KOSPI,753571958000,0,small
456040,OCI,KOSPI,747533332500,0,small
214320,이노션,KOSPI,742000000000,0,small
071320,지역난방공사,KOSPI,741039616000,0,small
004490,세방전지,KOSPI,730422000000,0,small
079160,CJ CGV,KOSPI,727735131450,0,small
000400,롯데손해보험,KOSPI,716876899200,0,small
137310,에스디바이오센서,KOSPI,702759773640,0,small
248070,솔루엠,KOSPI,695248071440,0,small
064960,SNT모티브,KOSPI,684739017600,0,small
003850,보령,KOSPI,683724039790,0,small
002350,넥센타이어,KOSPI,667071599910,0,small
075580,세진중공업,KOSPI,656042722240,0,small
298050,HS효성첨단소재,KOSPI,654072408000,0,small
285130,SK케미칼,KOSPI,650433601600,0,small
000370,한화손해보험,KOSPI,650235756550,0,small
002960,한국쉘석유,KOSPI,646100000000,0,small
005690,파미셀,KOSPI,643243030080,0,small
093050,LF,KOSPI,637432000000,0,small
001570,금양,KOSPI,633275240400,0,small
293940,신한알파리츠,KOSPI,628888639600,0,small
000670,영풍,KOSPI,627804290300,0,small
006650,대한유화,KOSPI,625950000000,0,small
025540,한국단자,KOSPI,622072500000,0,small
006380,카프로,KOSPI,618539985360,0,small
069260,TKG휴켐스,KOSPI,613178820000,0,small
108320,LX세미콘,KOSPI,610724465000,0,small
005090,SGC에너지,KOSPI,610235252550,0,small
017940,E1,KOSPI,596820000000,0,small
317450,명인제약,KOSPI,592760000000,0,small
005180,빙그레,KOSPI,590437274700,0,small
090460,비에이치,KOSPI,589614799620,0,small
453340,현대그린푸드,KOSPI,588709872310,0,small
001680,대상,KOSPI,585551622500,0,small
383800,LX홀딩스,KOSPI,584310085400,0,small
005880,대한해운,KOSPI,583527190720,0,small
094800,맵스리얼티,KOSPI,582999598680,0,small
002840,미원상사,KOSPI,575225000000,0,small
268280,미원에스씨,KOSPI,569500000000,0,small
114090,GKL,KOSPI,567835050600,0,small
001270,부국증권,KOSPI,558936855400,0,small
014820,동원시스템즈,KOSPI,554603224660,0,small
003620,KG모빌리티,KOSPI,553495384320,0,small
00104K,CJ4우(전환),KOSPI,551137164800,0,small
033240,자화전자,KOSPI,550940301000,0,small
003160,디아이,KOSPI,547039000000,0,small
001060,JW중외제약,KOSPI,544890762000,0,small
010780,아이에스동서,KOSPI,537931912320,0,small
007700,F&F홀딩스,KOSPI,528043954500,0,small
003300,한일홀딩스,KOSPI,521976346920,0,small
178920,PI첨단소재,KOSPI,519490236180,0,small
000640,동아쏘시오홀딩스,KOSPI,518404579000,0,small
100840,SNT에너지,KOSPI,517019575000,0,small
016380,KG스틸,KOSPI,507045107790,0,small
448730,삼성FN리츠,KOSPI,501685500000,0,small
001510,SK증권,KOSPI,494971481900,0,small
336370,솔루스첨단소재,KOSPI,492925754880,0,small
